0,seas,trend,resid,actual_values
1973-04-14,221.53988188426328,421.1075435413053,43.35257457443143,686.0
1973-04-15,203.5270255973207,421.1214801956332,56.35149420704613,681.0
1973-04-16,188.61566963653598,421.1354168499611,52.24891351350294,662.0
1973-04-17,186.9463228081714,421.14935350428897,36.90432368753963,645.0
1973-04-18,191.441685699311,421.16329015861686,18.395024142072145,631.0
1973-04-19,176.17064285007226,421.17722681294475,26.652130336982992,624.0
1973-04-20,174.9202131776111,421.19116346727264,-135.11137664488373,461.0
1973-04-21,166.76299942165352,421.20510012160054,-132.96809954325406,455.0
1973-04-22,156.65399179746373,421.21903677592843,-127.87302857339216,450.0
1973-04-23,139.92606701737046,421.2329734302563,-116.15904044762678,445.0
1973-04-24,120.31712462475271,421.2469100845842,-101.56403470933692,440.0
1973-04-25,108.01966298882124,421.2608467389121,-93.28050972773335,436.0
1973-04-26,97.22220135288975,421.27478339324,-87.49698474612975,431.0
1973-04-27,85.6389601996719,421.2887200475679,-80.92768024723979,426.0
1973-04-28,73.41423176661058,421.3026567018958,-72.71688846850637,422.0
1973-04-29,61.49935330093351,421.31659335622373,-65.81594665715724,417.0
1973-04-30,51.44083491353431,421.3305300105516,-63.77136492408594,409.0
1973-05-01,43.36457353852913,421.3444666648795,-65.70904020340865,399.0
1973-05-02,34.39679226789443,421.3584033192074,-67.75519558710184,388.0
1973-05-03,22.200635263404546,421.3723399735353,-66.57297523693985,377.0
1973-05-04,9.626852688138438,421.3862766278632,-64.01312931600164,367.0
1973-05-05,1.5755097736681725,421.4002132821911,-65.97572305585926,357.0
1973-05-06,-4.624039272569925,421.414149936519,-70.79011066394905,346.0
1973-05-07,-10.494103648227437,421.4280865908469,-73.93398294261944,337.0
1973-05-08,-15.46214584515046,421.44202324517477,-78.97987740002431,327.0
1973-05-09,-19.262151512393082,421.45595989950266,-87.19380838710958,315.0
1973-05-10,-22.22308346795928,421.46989655383055,-96.24681308587127,303.0
1973-05-11,-26.991125664882286,421.48383320815844,-100.49270754327615,294.0
1973-05-12,-31.33105305423842,421.49776986248634,-105.16671680824791,285.0
1973-05-13,-36.60066080889139,421.51170651681423,-107.91104570792284,277.0
1973-05-14,-40.92154057919991,421.5256431711421,-110.60410259194221,270.0
1973-05-15,-48.62552537233946,421.53957982547,-110.91405445313055,262.0
1973-05-16,-53.998916558173114,421.5535164797979,-110.5545999216248,257.0
1973-05-17,-57.66382763963624,421.5674531341258,-110.90362549448956,253.0
1973-05-18,-60.57231341124939,421.5813897884537,-113.00907637720431,248.0
1973-05-19,-64.24590029179926,421.5953264427816,-114.34942615098232,243.0
1973-05-20,-67.32659741370597,421.6092630971095,-119.28266568340351,235.0
1973-05-21,-68.21955807116386,421.62319975143737,-34.40364168027351,319.0
1973-05-22,-73.51884619111365,421.63713640576526,-37.11829021465161,311.0
1973-05-23,-79.72785381530343,421.65107306009315,-38.92321924478972,303.0
1973-05-24,-84.39289535991074,421.6650097144211,-42.272114354510364,295.0
1973-05-25,-86.70066358423098,421.678946368749,-45.978282784518015,289.0
1973-05-26,-92.41051921885784,421.6928830230769,-45.282363804219045,284.0
1973-05-27,-97.6394224725323,421.7068196774048,-43.06739720487248,281.0
1973-05-28,-103.98339421935745,421.7207563317327,-39.73736211237522,278.0
1973-05-29,-110.66011221536723,421.73469298606057,-36.07458077069333,275.0
1973-05-30,-116.0770128597788,421.74862964038846,-31.671616780609654,274.0
1973-05-31,-118.97225662225956,421.76256629471635,-28.790309672456786,274.0
1973-06-01,-119.63005746236585,421.77650294904424,-28.146445486678388,274.0
1973-06-02,-120.2873364498955,421.79043960337214,-27.50310315347663,274.0
1973-06-03,-121.77312163442451,421.8043762577,-28.031254623275515,272.0
1973-06-04,-123.67821536428949,421.8183129120279,-28.140097547738435,270.0
1973-06-05,-125.88585312546559,421.8322495663558,-25.946396440890226,270.0
1973-06-06,-127.44932911234294,421.8461862206837,-24.396857108340768,270.0
1973-06-07,-129.0901697437082,421.8601228750116,-22.769953131303396,270.0
1973-06-08,-131.1173769765086,421.8740595293395,-20.75668255283088,270.0
1973-06-09,-133.6935078883696,421.8879961836674,-18.194488295297788,270.0
1973-06-10,-135.29168707159397,421.9019328379953,-17.610245766401306,269.0
1973-06-11,-137.4111969788888,421.91586949232317,-16.50467251343437,268.0
1973-06-12,-139.14714524234805,421.92980614665106,-14.782660904303015,268.0
1973-06-13,-140.90403284044515,421.94374280097895,-13.039709960533798,268.0
1973-06-14,-142.15981150181705,421.95767945530685,-11.7978679534898,268.0
1973-06-15,-144.01539446847255,421.97161610963474,-11.956221641162188,266.0
1973-06-16,-145.78356712853972,421.98555276396263,-12.201985635422915,264.0
1973-06-17,-147.27398375468647,421.9994894182905,-12.725505663604054,262.0
