0,seas,trend,resid,actual_values
1973-01-01,1.2307458664359776,419.67206814553214,0.6524563315207429,337.0
1973-01-02,1.2530672856915441,419.68600479986003,0.6864490731319033,361.0
1973-01-03,1.2634957076716944,419.6999414541879,0.897623622389761,476.0
1973-01-04,1.2736712832463157,419.7138781085158,1.4310366230462417,765.0
1973-01-05,1.2982651985959506,419.7278147628437,1.8333033096478308,999.0
1973-01-06,1.320820167183082,419.7417514171716,1.8145632835726224,1006.0
1973-01-07,1.3291803043107326,419.7556880714995,1.8120520500011708,1011.0
1973-01-08,1.3711439433756816,419.7696247258274,1.820820875790247,1048.0
1973-01-09,1.3829687293386832,419.7835613801553,1.6398312573917502,952.0
1973-01-10,1.4011325812014492,419.79749803448317,1.4094038471233963,829.0
1973-01-11,1.4669310210845374,419.81143468881106,1.4305793510762788,881.0
1973-01-12,1.526649519451359,419.82537134313895,1.6476155876752456,1056.0
1973-01-13,1.5179996081647138,419.83930799746685,1.7448175876665806,1112.0
1973-01-14,1.508196921010577,419.85324465179474,1.609231853018226,1019.0
1973-01-15,1.493549594215486,419.8671813061227,1.468682947566296,921.0
1973-01-16,1.4919393573954378,419.8811179604506,1.4590449778697359,914.0
1973-01-17,1.5269933175448105,419.8950546147785,1.525319978346724,978.0
1973-01-18,1.537418122282269,419.90899126910637,1.5335149865597881,990.0
1973-01-19,1.5595070868473049,419.92292792343426,1.5163250439688798,993.0
1973-01-20,1.5514626896971944,419.93686457776215,1.57939237701673,1029.0
1973-01-21,1.5748559397684165,419.95080123209004,1.7690765053163828,1170.0
1973-01-22,1.5632893202105502,419.96473788641794,1.6130349316812693,1059.0
1973-01-23,1.5305080750212827,419.9786745407458,1.5448502398304973,993.0
1973-01-24,1.5054958261629279,419.9926111950737,1.4977135990229982,947.0
1973-01-25,1.503578328303547,420.0065478494016,1.2620489589771562,797.0
1973-01-26,1.5525071692965022,420.0204845037295,0.9753332494304043,636.0
1973-01-27,1.548833934193244,420.0344211580574,0.8623292636804436,561.0
1973-01-28,1.55827607555854,420.0483578123853,0.811242747025222,531.0
1973-01-29,1.5563574606945845,420.0622944667132,0.7831535282266411,512.0
1973-01-30,1.56359287400829,420.0762311210411,0.7536217215607544,495.0
1973-01-31,1.6208365061582424,420.09016777536897,0.7049519409809349,480.0
1973-02-01,1.6575764790557932,420.10410442969686,0.6763794543221819,471.0
1973-02-02,1.6858076500543526,420.11804108402475,0.6565587609081328,465.0
1973-02-03,1.7118483971698153,420.13197773835265,0.6354262633215502,457.0
1973-02-04,1.6862404863071176,420.14591439268054,0.6394087055383856,453.0
1973-02-05,1.6262085453263024,420.15985104700843,0.6527457749351464,446.0
1973-02-06,1.5797078917937741,420.1737877013363,0.6568719937721439,436.0
1973-02-07,1.540781430680994,420.1877243556642,0.6749895367602348,437.0
1973-02-08,1.5237084659469429,420.2016610099921,0.7122052935826515,456.0
1973-02-09,1.5185324030208107,420.21559766432006,0.8102038656914428,517.0
1973-02-10,1.5344901255081425,420.22953431864795,0.9661340236475732,623.0
1973-02-11,1.5388307716232072,420.24347097297584,1.2169784707874163,787.0
1973-02-12,1.5449430283376835,420.25740762730373,1.3615212339144607,884.0
1973-02-13,1.5369332743667936,420.2713442816316,1.3329638122546614,861.0
1973-02-14,1.527844413103751,420.2852809359595,1.2302794796041197,790.0
1973-02-15,1.5112872169312979,420.2992175902874,1.0705410431487854,680.0
1973-02-16,1.4992121477568343,420.3131542446153,0.9331280648502617,588.0
1973-02-17,1.4929740907594184,420.3270908989432,0.9162799673163043,575.0
1973-02-18,1.4955326797874022,420.3410275532711,1.0308068996346171,648.0
1973-02-19,1.519159402570604,420.354964207599,1.1102651515418385,709.0
1973-02-20,1.5479732522770029,420.3689008619269,1.1172243163070223,727.0
1973-02-21,1.5657247534294974,420.38283751625477,1.1561768301871984,761.0
1973-02-22,1.550827782390784,420.39677417058266,1.176447135061592,767.0
1973-02-23,1.5666036359298807,420.41071082491055,1.2070749199795083,795.0
1973-02-24,1.5670657081393216,420.42464747923844,1.3296236470892264,876.0
1973-02-25,1.5497916622344015,420.43858413356634,1.3198438899898954,860.0
1973-02-26,1.5246277327221625,420.45252078789423,1.2074250585514843,774.0
1973-02-27,1.5219940418585265,420.4664574422221,1.0672751449210245,683.0
1973-02-28,1.5360587815763327,420.48039409655,0.9367027355796873,605.0
1973-03-01,1.5502102191953728,420.4943307508779,0.8560191070229496,558.0
1973-03-02,1.5742698107597661,420.5082674052058,0.7960803594655261,527.0
1973-03-03,1.5741081861769064,420.5222040595337,0.759879057848197,503.0
1973-03-04,1.5567871667776518,420.5361407138616,0.7423414340834262,486.0
1973-03-05,1.5370716157893203,420.5500773681895,0.7765901846146127,502.0
1973-03-06,1.5208277969821282,420.56401402251737,0.8333262418054156,533.0
1973-03-07,1.5192552583925674,420.57795067684526,0.8372912126388117,535.0
1973-03-08,1.522281435104498,420.5918873311732,0.8324753190877994,533.0
1973-03-09,1.5230367908840523,420.6058239855011,0.9241363016493039,592.0
1973-03-10,1.5426702786241373,420.619760639829,1.029469959450713,668.0
1973-03-11,1.5641569457564968,420.6336972941569,0.9940159642513744,654.0
1973-03-12,1.5941976259522679,420.6476339484848,0.8604293272632342,577.0
1973-03-13,1.623330239441059,420.6615706028127,0.7527025740558156,514.0
1973-03-14,1.628294824065089,420.67550725714057,0.6949069948755114,476.0
1973-03-15,1.6158280026435576,420.68944391146846,0.6619966150872674,450.0
1973-03-16,1.630124067795428,420.70338056579635,0.6313806021676778,433.0
