data,seas,trend,resid,actual_values
2000-01-01 00:00:00,-170.00954228796675,8147.992608387755,-1772.9830660997886,6205.0
2000-01-02 00:00:00,-375.2840296024624,8145.1381341868255,-972.8541045843631,6797.0
2000-01-03 00:00:00,-454.6356088690145,8142.2836599858965,-663.648051116882,7024.0
2000-01-04 00:00:00,-536.3883749506346,8139.429185784967,-682.0408108343321,6921.0
2000-01-05 00:00:00,-297.1552941144464,8136.574711584037,-814.4194174695904,7025.0
2000-01-06 00:00:00,-123.38569410017581,8133.720237383108,-1129.334543282932,6881.0
2000-01-07 00:00:00,-102.04683552426152,8130.865763182178,-963.8189276579164,7065.0
2000-01-08 00:00:00,-39.733315818210286,8128.011288981248,-1109.2779731630378,6979.0
2000-01-09 00:00:00,-42.57840998202252,8125.156814780319,-1504.5784047982966,6578.0
2000-01-10 00:00:00,-45.184491132135264,8122.302340579389,-1130.117849447254,6947.0
2000-01-11 00:00:00,11.213594327341042,8119.447866378459,-1244.6614607058004,6886.0
2000-01-12 00:00:00,10.132639033391655,8116.59339217753,-1157.726031210922,6969.0
2000-01-13 00:00:00,34.38855668464865,8113.7389179766005,-724.1274746612492,7424.0
2000-01-14 00:00:00,-29.529077890122124,8110.884443775671,-1173.3553658855485,6908.0
2000-01-15 00:00:00,3.240866987161695,8108.029969574742,-1039.2708365619035,7072.0
2000-01-16 00:00:00,-59.7416746081561,8105.175495373812,-1328.4338207656558,6717.0
2000-01-17 00:00:00,1.7901195841961624,8102.321021172882,-1066.1111407570781,7038.0
2000-01-18 00:00:00,25.611841858741485,8099.466546971953,-893.0783888306945,7232.0
2000-01-19 00:00:00,1.8921658456135049,8096.612072771023,-922.5042386166366,7176.0
2000-01-20 00:00:00,73.03888931878859,8093.757598570093,-1127.7964878888818,7039.0
2000-01-21 00:00:00,15.182478374154897,8090.903124369164,-1063.0856027433192,7043.0
2000-01-22 00:00:00,26.94602359390413,8088.048650168234,-1025.9946737621385,7089.0
2000-01-23 00:00:00,-27.643685467167558,8085.194175967305,-1192.550490500137,6865.0
2000-01-24 00:00:00,-37.39571045289736,8082.339701766376,-881.9439913134783,7163.0
2000-01-25 00:00:00,-29.473341431777357,8079.485227565446,-828.0118861336683,7222.0
2000-01-26 00:00:00,-10.19866470517772,8076.630753364516,-846.4320886593381,7220.0
2000-01-27 00:00:00,8.851396781694547,8073.776279163587,-922.6276759452815,7160.0
2000-01-28 00:00:00,-2.190437279377278,8070.921804962657,-841.7313676832797,7227.0
2000-01-29 00:00:00,54.14245177598886,8068.067330761727,-894.209782537716,7228.0
2000-01-30 00:00:00,-3.061564819328595,8065.212856560798,-1208.1512917414695,6854.0
2000-01-31 00:00:00,19.388796325078005,8062.358382359868,-849.7471786849463,7232.0
2000-02-01 00:00:00,34.3257581544174,8059.503908158938,-779.8296663133558,7314.0
2000-02-02 00:00:00,57.579898750878755,8056.6494339580095,-838.2293327088883,7276.0
2000-02-03 00:00:00,53.84565133364251,8053.79495975708,-866.6406110907221,7241.0
2000-02-04 00:00:00,38.35020237531083,8050.94048555615,-817.2906879314605,7272.0
2000-02-05 00:00:00,3.06887482108786,8048.086011355221,-839.1548861763087,7212.0
2000-02-06 00:00:00,2.165924664125754,8045.231537154291,-1036.3974618184166,7011.0
2000-02-07 00:00:00,-53.480177547631655,8042.377062953361,-772.8968854057293,7216.0
2000-02-08 00:00:00,9.039197980337605,8039.522588752432,-883.5617867327696,7165.0
2000-02-09 00:00:00,68.16471100830623,8036.668114551502,-880.8328255598084,7224.0
2000-02-10 00:00:00,89.56101633079626,8033.813640350572,-963.3746566813686,7160.0
2000-02-11 00:00:00,44.17855829712116,8030.959166149643,-918.1377244467645,7157.0
2000-02-12 00:00:00,16.843168927829964,8028.1046919487135,-916.9478608765435,7128.0
2000-02-13 00:00:00,64.07822407908671,8025.250217747784,-1300.3284418268704,6789.0
2000-02-14 00:00:00,-2.0324913176013126,8022.395743546855,-1159.3632522292532,6861.0
2000-02-15 00:00:00,-84.106038734838,8019.541269345925,-922.4352306110868,7013.0
2000-02-16 00:00:00,-34.25399625481484,8016.686795144995,-979.43279889018,7003.0
2000-02-17 00:00:00,0.47901437589447937,8013.832320944066,-897.3113353199604,7117.0
2000-02-18 00:00:00,-82.68352841805361,8010.977846743136,-917.2943183250825,7011.0
2000-02-19 00:00:00,-144.73822378049627,8008.123372542206,-826.38514876171,7037.0
2000-02-20 00:00:00,-76.83524739636252,8005.268898341277,-1275.4336509449147,6653.0
2000-02-21 00:00:00,-80.33655662866786,8002.414424140347,-883.0778675116795,7039.0
2000-02-22 00:00:00,-43.056980758233436,7999.5599499394175,-1099.502969181184,6857.0
2000-02-23 00:00:00,-92.37714581245538,7996.7054757384885,-960.3283299260331,6944.0
2000-02-24 00:00:00,-86.15914699681505,7993.851001537559,-887.6918545407436,7020.0
2000-02-25 00:00:00,-75.6422055441881,7990.996527336629,-873.3543217924407,7042.0
2000-02-26 00:00:00,-87.36097128334316,7988.1420531357,-899.7810818523567,7001.0
2000-02-27 00:00:00,-41.97273102934665,7985.28757893477,-1192.3148479054232,6751.0
2000-02-28 00:00:00,-14.333971083569367,7982.43310473384,-610.0991336502707,7358.0
2000-02-29 00:00:00,36.64611317727676,7979.578630532911,-582.2247437101879,7434.0
2000-03-01 00:00:00,111.80975788332793,7976.724156331981,-690.5339142153092,7398.0
2000-03-02 00:00:00,114.62339026061184,7973.869682131051,-696.4930723916632,7392.0
2000-03-03 00:00:00,38.049964076252735,7971.015207930122,-846.0651720063752,7163.0
